slutpris,avgift_kr,boarea_kvm,antal_rum,sald_datum,prisforandring_pct,pris_per_kvm,omrade,url,bostadstyp,raw_text,sald_ar,sald_manad,sald_kvartal,omrade_clean,kvm_per_rum,avgift_per_kvm,avgift_andel,sasong,budkrig,prissankt,storlek_kategori
1900000,5452.0,72.0,3.0,2026-02-18,-9.0,26389.0,år Lägenhet Södra Ladugårdsängen,https://www.hemnet.se/salda/lagenhet-3rum-sodra-ladugardsangen-orebro-kommun-lillbackavagen-13-avgiftsfritt-i-1-ar-30533761275986251,lagenheter,"Maps Data: Google © 2026 Såld 18 feb. 2026 Lillbackavägen 13 - AVGIFTSFRITT i 1 år Lägenhet Södra Ladugårdsängen, Örebro kommun 72 m² 3 rum 5 452 kr/mån Balkong Hiss Slutpris 1 900 000 kr -9 % 26 389 kr/m² LF Fastighetsförmedling Örebro",2026,2,1,år Lägenhet Södra Ladugårdsängen,24.0,75.7,3.44,vinter,0,1,medel (60-80)
870000,4745.0,56.0,2.5,2026-02-18,-3.0,15536.0,väster,"https://www.hemnet.se/salda/lagenhet-2,5rum-centralt-vaster-orebro-kommun-ullavigatan-31e-9095294916727375263",lagenheter,"Såld 18 feb. 2026 Ullavigatan 31E Lägenhet Centralt - väster, Örebro kommun 56 m² 2,5 rum 4 745 kr/mån Balkong Slutpris 870 000 kr -3 % 15 536 kr/m² SkandiaMäklarna Örebro",2026,2,1,väster,22.4,84.7,6.54,vinter,0,1,liten (40-60)
1575000,4735.0,69.0,3.0,2026-02-18,-5.0,22826.0,Lägenhet Centralt Öster,https://www.hemnet.se/salda/lagenhet-3rum-centralt-oster-orebro-kommun-sidvallsgatan-3-4999623211687794557,lagenheter,"Såld 18 feb. 2026 Sidvallsgatan 3 Lägenhet Centralt Öster, Örebro kommun 69 m² 3 rum 4 735 kr/mån Balkong Slutpris 1 575 000 kr -5 % 22 826 kr/m² Fastighetsbyrån Örebro",2026,2,1,Centralt Öster,23.0,68.6,3.61,vinter,0,1,medel (60-80)
1800000,4023.0,70.5,3.0,2026-02-18,3.0,25532.0,D Lägenhet Örebro,https://www.hemnet.se/salda/lagenhet-3rum-orebro-orebro-kommun-trumpetaregatan-13d-2305092833979906944,lagenheter,"Såld 18 feb. 2026 Trumpetaregatan 13D Lägenhet Örebro, Örebro kommun 70,5 m² 3 rum 4 023 kr/mån Balkong Slutpris 1 800 000 kr +3 % 25 532 kr/m² Svensk Fastighetsförmedling Örebro",2026,2,1,Lägenhet Örebro,23.5,57.1,2.68,vinter,1,0,medel (60-80)
600000,4731.0,67.0,2.0,2026-02-16,-14.0,8955.0,Lägenhet Mellringe,https://www.hemnet.se/salda/lagenhet-2rum-mellringe-orebro-kommun-irisgatan-12-6462208220329517626,lagenheter,"Såld 16 feb. 2026 Irisgatan 12 Lägenhet Mellringe, Örebro kommun 67 m² 2 rum 4 731 kr/mån Slutpris 600 000 kr -14 % 8 955 kr/m² Mäklarhuset Örebro",2026,2,1,Mellringe,33.5,70.6,9.46,vinter,0,1,medel (60-80)
1550000,6327.0,79.0,3.0,2026-02-16,0.0,19620.0,Lägenhet Solhaga,https://www.hemnet.se/salda/lagenhet-3rum-solhaga-orebro-kommun-ledgrand-24-342939668186313357,lagenheter,"Maps Data: Google © 2026 Såld 16 feb. 2026 Ledgränd 24 Lägenhet Solhaga, Örebro kommun 79 m² 3 rum 6 327 kr/mån Uteplats Slutpris 1 550 000 kr ±0 % 19 620 kr/m² Nordå Fastighetsmäklare",2026,2,1,Solhaga,26.3,80.1,4.9,vinter,0,0,medel (60-80)
1595000,5231.0,68.0,3.0,2026-02-15,0.0,23456.0,Lägenhet Almby,https://www.hemnet.se/salda/lagenhet-3rum-almby-orebro-kommun-kyrkvardsvagen-13-3334746358329545234,lagenheter,"Såld 15 feb. 2026 Kyrkvärdsvägen 13 Lägenhet Almby, Örebro kommun 68 m² 3 rum 5 231 kr/mån Balkong Slutpris 1 595 000 kr ±0 % 23 456 kr/m² Mäklarhuset Örebro",2026,2,1,Almby,22.7,76.9,3.94,vinter,0,0,medel (60-80)
2450000,4583.0,78.5,3.0,2026-02-13,-2.0,31210.0,B Lägenhet Centralt,https://www.hemnet.se/salda/lagenhet-3rum-centralt-orebro-kommun-karlslundsgatan-22b-3995611389103966028,lagenheter,"Maps Data: Google © 2026 Såld 13 feb. 2026 Karlslundsgatan 22B Lägenhet Centralt, Örebro kommun 78,5 m² 3 rum 4 583 kr/mån Balkong Slutpris 2 450 000 kr -2 % 31 210 kr/m² Fastighetsbyrån Örebro",2026,2,1,Lägenhet Centralt,26.2,58.4,2.24,vinter,0,1,medel (60-80)
1850000,3576.0,56.2,2.0,2026-02-12,0.0,32918.0,Lägenhet Sörby/Eklunda,https://www.hemnet.se/salda/lagenhet-2rum-sorby-eklunda-orebro-kommun-restalundsvagen-57-5065472002901106498,lagenheter,"Såld 12 feb. 2026 Restalundsvägen 57 Lägenhet Sörby/Eklunda, Örebro kommun 56,2 m² 2 rum 3 576 kr/mån Balkong Slutpris 1 850 000 kr ±0 % 32 918 kr/m² Erik Olsson Fastighetsförmedling",2026,2,1,Sörby/Eklunda,28.1,63.6,2.32,vinter,0,0,liten (40-60)
1800000,3541.0,58.0,2.0,2026-02-12,-2.0,31034.0,Lägenhet Sörby/Eklunda,https://www.hemnet.se/salda/lagenhet-2rum-sorby-eklunda-orebro-kommun-restalundsvagen-75-4479821670105094932,lagenheter,"Maps Data: Google © 2026 Såld 12 feb. 2026 Restalundsvägen 75 Lägenhet Sörby/Eklunda, Örebro kommun 58 m² 2 rum 3 541 kr/mån Balkong Slutpris 1 800 000 kr -2 % 31 034 kr/m² SkandiaMäklarna Örebro",2026,2,1,Sörby/Eklunda,29.0,61.1,2.36,vinter,0,1,liten (40-60)
